KO_fag	KO_NoFag	KO_fag	KO_NoFag	KO_fag	KO_NoFag	WT_fag	WT_NoFag	WT_fag	WT_NoFag	WT_fag	WT_NoFag
ENSMUSG00000048960	-0.439758308538739	-0.199406676996347	-0.270875827326019	-0.351401335647271	0.228479599823462	0.659467485018119	-0.524215177788108	0.670527142642207	1.05902215682729	0.271548649654402	0.620729551106972	1.14064190179652
ENSMUSG00000103494	2.64019615777174	2.25088995670009	2.17942080637041	2.09889529804916	2.16089867424254	2.1437006503142	1.92608145590832	2.67547069052991	3.15681577755751	2.21365805890576	2.16575380095919	2.24101069220647
ENSMUSG00000057715	0.41516945443184	1.17726880585931	0.584051935644556	0.503526427323308	1.08340736279404	2.08786582516468	1.524551174006	1.52545490561278	0.398024830192327	0.618289188179904	1.47565731407755	0.645641821480616
ENSMUSG00000103561	3.14348792683627	3.27592944564968	2.68271257543493	2.60218706711368	3.18206800258442	2.64699241937872	2.42937322497285	2.53118806241158	2.4966854699827	2.71694982797028	2.66904557002372	2.74430246127099
ENSMUSG00000016918	0.116650368698696	0.878749720126166	1.97415188191861	2.07464980045701	0.267010717783538	1.78934673943154	1.5837877644	1.56675213109857	0.0995057444591829	2.45007361631157	1.72909036042056	2.38203832860792
ENSMUSG00000025938	-0.101428950493819	0.138922681048573	0.0674535307188968	0.601292995277653	0.0489313985910229	0.997796843063039	1.00795276908034	-0.0840709823044499	0.577367242316814	1.2823389258892	0.576293331759025	0.129043416554957
ENSMUSG00000005886	3.52255705934487	3.56111081215863	3.54131177000262	3.81635238731196	3.18954744975152	3.24092022030748	2.57700757869265	2.72849131929227	2.34760744456274	3.21303955056129	3.14759669016867	3.00570752287186
ENSMUSG00000103506	2.44228768644456	3.20438703787203	2.61117016765727	2.53064465933603	2.5926480355294	3.13787708720137	2.35783081719519	2.45964565463393	2.42514306220504	3.1535946446377	3.1200099686974	2.67276005349333
ENSMUSG00000103495	3.54246557521901	3.67490709403243	3.08169022381768	3.61552968837643	3.58104565096716	3.04597006776147	2.82835087335559	3.57774010797717	2.89566311836544	3.6241147007981	3.06802321840646	3.97069014864696
ENSMUSG00000102639	4.13905011706912	4.37940174861151	4.30793259828183	4.22740708996059	4.80728802543132	5.23827591062598	4.05459324781975	4.15640808525849	4.1219054928296	4.34216985081718	4.29426559287062	5.19693252311112
ENSMUSG00000104170	2.70955456509658	2.94990619663897	2.8784370463093	2.79791153798805	2.85991491418142	2.84271689025309	3.34213510279708	3.81984001627753	3.38835075790722	3.42086152328972	3.77004242474229	4.28995477543184
ENSMUSG00000103085	3.07239846855467	1.6397401088779	2.36831974064825	2.53162745837424	3.20932457563134	2.49861427089236	1.31493160808614	1.41674644552488	3.62092157460605	2.48575672706548	2.76208898459697	2.97978868767076
ENSMUSG00000102664	3.07515079707311	3.20759231588653	3.69280766467054	2.53384993735053	3.79468792058458	3.85976268938418	2.36103609520969	3.89559472685893	3.1242891572697	4.07570814458518	3.80819347172053	3.50337537050106
ENSMUSG00000025935	5.77426814270538	6.0522764834216	6.32516665057304	6.07689457581159	6.78259137525259	6.51274581041166	6.01768360903765	6.87239817529031	6.59022640811263	6.1363666895064	6.59303814170764	6.91486617084601
ENSMUSG00000025937	4.34280660535384	4.7351105257668	4.66446686790764	4.58750032058622	4.70667585079928	4.81662205610065	4.46400755339396	4.5994565832	3.98125660466306	4.73078055533458	4.21936171672523	4.33658193936592
ENSMUSG00000102982	3.27385759525164	5.67949330432212	4.52117229546312	4.73664314714306	4.3223832819783	3.96944699600846	3.18940072600228	4.99879719573694	3.25671297101213	4.90407277537776	3.95157987750449	3.50432996230042
ENSMUSG00000067813	2.66852729683653	3.430626648264	2.83740977804925	2.75688426972799	3.33676520519873	2.80168962199304	2.58407042758716	2.6858852650259	3.34732348964716	2.87164703058459	2.82374277263803	2.8989996638853
ENSMUSG00000025932	1.27883977973115	0.889533578659492	0.818064428329816	0.737538920008568	0.799542296201942	0.782344272273608	1.2817624848176	1.31411431248932	1.79545939951692	0.852301680865164	0.804397422918601	0.879654314165876
ENSMUSG00000082193	3.77578826349667	4.92024772817757	4.74471952680942	3.86414523638814	3.92614861258151	3.90895058865318	4.40836880119717	3.79314623168604	3.75864363925715	3.97890799724473	3.93100373929817	4.00626063054544
ENSMUSG00000092083	0.321119239782508	0.835920871849357	-0.13965611161883	0.394183352939926	-0.158178243746704	0.387050807925263	0.324041944868956	0.35639377254067	0.837738859568269	-0.105418859083482	0.369183689421298	-0.07806622578277
ENSMUSG00000025925	3.31148487170442	2.55445374791858	4.20837793782906	3.8898638510812	3.9713664938031	2.82426400816279	3.60733000287804	3.56459115464759	3.63152738050822	3.2506360977161	4.20615185950762	3.92512421896044
ENSMUSG00000043716	7.77487423697664	7.59261182032522	8.01973140004906	7.33757729770579	8.10798132055321	7.64660188371837	7.87016165216125	7.62918844748943	8.07534198657429	7.89389157006191	8.20567717769588	7.61344102955285
ENSMUSG00000025921	2.62408571515877	2.70201093633244	2.80486617186301	2.68979045269027	2.90674642777704	2.65677726520839	2.19013200935203	3.51325578089711	1.54040684741202	1.7606712053996	2.920251978913	2.61543387769354
ENSMUSG00000025920	0.859888838181014	2.55587607998312	2.71739035140093	2.59142597564836	2.85466830422758	3.10983525456526	3.23659927716576	3.84042238059648	3.41794130238879	3.32615049732476	2.87057351327639	3.37501877390378
ENSMUSG00000025939	4.4270429763947	4.54767689444084	5.12389806095433	4.64794226708036	5.17349067507629	3.97365952507927	4.12301104210107	3.64190974520304	4.971091018648	5.04630586418331	4.75005148964232	5.28631387310477
ENSMUSG00000102457	2.66848050194452	2.27917430087286	2.20770515054318	2.12717964222193	2.70706057769266	3.13804846288732	1.9543658000811	2.05618063751983	2.02167804509095	2.24194240307853	3.09931052897617	2.26929503637924
ENSMUSG00000079658	5.38162680022865	6.11570186356323	6.06447401825791	5.70779388224637	6.25270746160999	6.17278999450897	6.0277749806542	5.5904014063341	6.24585529410278	5.90054237984829	6.30821711154297	6.07160144298427
ENSMUSG00000025940	6.03636326212448	6.27059416085917	6.22562126459798	6.50297356586537	5.88415351118632	6.06998231442069	5.7909999625326	6.09876022494097	5.70009976409333	6.31645418373195	5.82126473925281	6.54662627541132
ENSMUSG00000025779	6.39545421766078	6.65226346770651	5.86913982257944	6.20306833274072	6.71810909539457	5.25684850453503	6.39461582248854	5.91351452559051	5.80568523107274	5.91757538141506	6.27565415208047	6.66181468568256
ENSMUSG00000042686	2.35931834210052	1.53313573013568	1.461666579806	1.38114107148475	1.44314444767813	1.98837349935009	1.92536463629379	1.31014206678265	1.27563947435377	2.00409105678642	1.44799957439479	1.52325646564206
ENSMUSG00000025777	0.66347996209921	1.42557931352668	1.91079466231069	0.751836934990678	0.813840311184052	0.796642287255722	2.13061735780051	0.680837930288583	1.80975741449903	1.37478692029235	0.818695437900711	0.893952329147986
ENSMUSG00000067780	1.45239548447733	1.06308928340566	0.99162013307599	0.911094624754739	0.973098000948113	1.51832705262008	0.738280782613902	0.840095620052644	1.50153384467391	2.20650552824629	1.50045993411612	1.88062005790528
ENSMUSG00000085125	0.553222950430026	1.3153223018575	0.722105431642742	0.641579923321494	0.703583299514868	0.686385275586535	0.468766081180657	1.21815531580224	0.536078326190513	0.75634268417809	0.708438426231528	2.13362316076529
ENSMUSG00000043760	-0.224816766934044	0.537282584493425	1.02249793327743	-0.136459794042576	1.12437818919147	-0.091654441777532	0.407763770766458	-0.207458798744671	-0.241961391173557	-0.0216970331859763	-0.0696012911325425	0.0056556001147321
ENSMUSG00000104095	1.8154623210601	2.57756167248757	1.98434480227281	2.51818426683157	1.96582267014494	1.9486246462166	3.2825997167614	2.48039468643231	1.79831769682058	2.01858205480816	1.9706777968616	2.04593468810887
ENSMUSG00000041872	2.59835200277697	3.36045135420444	2.76723448398969	3.30107394854845	3.26658991113917	2.73151432793348	2.5138951335276	3.70863745395792	2.58120737853746	2.80147173652504	2.75356747857847	2.82882436982575
ENSMUSG00000041859	5.34931048982676	5.22687278342985	5.60100502574395	4.45220691636704	5.56741849382619	6.41761440988567	5.66214552453167	5.93815204966949	5.13810570305127	6.53291576195406	6.50581785922414	6.53596214728545
ENSMUSG00000102121	3.87774659931444	4.11809823085683	4.50141562032951	3.96610357220591	4.02810694839928	4.01090892447095	5.63131851485012	3.89510456750381	3.86060197507492	4.0808663330625	4.55546888156728	4.10821896636322
ENSMUSG00000025931	2.22438876201441	2.30231398318808	1.32673699971989	2.62064007039859	1.82609242686937	1.85344391926398	1.07339764925781	1.82278688387939	1.83665071131781	1.36097425225524	1.31306999430868	1.38832688555595
ENSMUSG00000041809	2.47139482790182	3.23349417932929	3.09506384891689	3.60363380894055	3.13963273626402	2.60455715305833	3.10397536560232	2.48875279609119	3.61767228030163	3.85516270428484	3.83409533516328	2.70186719495059
