KO_fag	KO_NoFag	WT_fag	WT_NoFag
ENSMUSG00000026083	4.71042611395492	4.1526727917942	4.54008599200356	4.18022843427225
ENSMUSG00000026082	2.62241998403089	2.98452181911436	3.12575797095758	2.43777243791438
ENSMUSG00000103804	4.81923659271002	4.48300628298299	4.35916466979608	4.55798697389145
ENSMUSG00000037138	1.39927431605177	1.44237824707939	1.37724615948532	1.24163061325183
ENSMUSG00000026080	0.725198979653978	0.587084059874105	0.305854710163313	0.611760431885049
ENSMUSG00000026078	4.50590764478721	4.5836446301899	4.97268966661815	4.77453731246748
ENSMUSG00000103046	3.00567620414676	3.44411202238482	2.9155938829038	3.67074783733308
ENSMUSG00000026077	1.67923844086072	1.71976427413712	1.36808292387087	2.21237983809958
ENSMUSG00000073702	7.29241481111293	6.77338581323987	7.778131961204	7.02084145363225
ENSMUSG00000003134	4.46744670023584	4.92256067303763	4.68268196150639	4.61746859493117
ENSMUSG00000102607	4.27246870697605	4.32422315510921	3.8046603770329	3.93546543512342
ENSMUSG00000003135	2.82008035964776	2.94348206510076	2.81015442025642	2.59651672663854
ENSMUSG00000085894	3.60543823178771	3.74121692046815	3.66996977048497	3.2990016390166
ENSMUSG00000048234	5.45219983667052	4.78655033171503	5.01741046533349	5.09084641021716
ENSMUSG00000064936	7.33177576745755	6.93444008709069	7.24915268816761	7.16620335114037
ENSMUSG00000050967	1.52632809583369	1.37341823732167	1.84295538100423	1.3695068578319
ENSMUSG00000026074	4.58788319790418	4.67279787170131	4.51305962275121	4.81032237117922
ENSMUSG00000026073	4.96766387123266	4.17834700539273	4.31253561181473	3.62134885428661
ENSMUSG00000097899	4.38110326133177	4.2187583357225	4.84586001036024	4.00732265702738
ENSMUSG00000102975	3.51298898854912	2.84891749181835	2.9073737035954	3.04724980126662
ENSMUSG00000026072	2.48459744305993	1.4974459995335	1.18402267079088	2.03245496282096
ENSMUSG00000070942	4.95739710371126	4.80504725180205	3.64330367928227	4.59285346413632
ENSMUSG00000026069	2.50922139533825	2.65418348655055	1.67102901822445	1.97399881767003
ENSMUSG00000026070	1.64673289282509	1.70232100752098	1.57841879588754	1.4910798715068
ENSMUSG00000026068	2.88812097522095	2.76515690999959	2.49491439566305	2.83326944600572
ENSMUSG00000041945	1.55731612544505	1.61290561985016	1.67582279221088	1.6180541117705
ENSMUSG00000100185	2.55387913761207	2.3810526750181	2.73008267149658	2.62379777079463
ENSMUSG00000100832	2.22204845541075	2.08958986085779	2.43861985733626	2.33233495663432
ENSMUSG00000060424	1.56209544198647	1.81405931484821	1.73473552658542	1.81920433165437
ENSMUSG00000045515	1.38282867274208	0.815731586628285	1.67247490819276	1.37819508340496
ENSMUSG00000060679	4.46168325523946	4.12558029030122	3.67417833330953	4.25191342460173
ENSMUSG00000070939	3.20093712962623	3.28220983836394	2.7175479343015	3.54910267601464
ENSMUSG00000010290	4.70726857951	4.08362755565253	4.04712515415743	4.64486053097883
ENSMUSG00000099576	3.46995722244545	3.51822496353735	4.02135914340479	3.51067995929301
ENSMUSG00000026051	4.93766351180752	4.77873864062788	5.51011329870921	6.06813812913892
ENSMUSG00000100635	4.42688850055357	4.88508300283183	4.33680617931061	4.86910090579218
ENSMUSG00000100480	5.09040064395064	5.19037715483675	4.88966997182349	4.76210307475652
ENSMUSG00000057363	3.50911761517004	3.76991687295462	3.84095678137514	3.6381052151761
ENSMUSG00000041763	5.4589573047111	5.39988585561422	5.29875296147286	5.13735088384534
ENSMUSG00000047343	2.73435662850691	2.36928146268572	1.77757910263754	2.97080930004181
ENSMUSG00000091844	1.21579571748996	0.527600404949762	1.5390251608679	1.28750423554986
ENSMUSG00000026049	5.00397125886546	5.09893388836314	4.92546438764446	4.32941488897119
ENSMUSG00000026047	4.75494590992538	4.66293546237136	4.4975439889188	5.0362794785688
ENSMUSG00000041684	3.37579733908661	3.08713152490506	3.66302254430223	3.13706488011875
ENSMUSG00000026048	4.00487496440154	4.53674548090913	3.48474150639334	4.82485196120622
ENSMUSG00000056870	2.0296022385637	2.08170814908795	2.20174316509262	2.09953753664793
ENSMUSG00000103071	3.08529337221013	3.35848371314064	3.25793345680908	3.34240226187802
ENSMUSG00000104476	1.70734094036801	1.31455666017687	1.92124163406698	1.18656516131139
ENSMUSG00000025995	5.49231316583693	5.18561549808925	5.38335651295341	5.49199095224268
ENSMUSG00000025993	4.35976006425138	5.53326568340049	4.05959856501437	4.75096418497119
ENSMUSG00000044457	1.67834625065136	1.92723179724429	2.40988884120032	2.30184832200943
ENSMUSG00000041144	-0.388118009518294	0.428235057207157	0.443608256630537	0.553382523220936
ENSMUSG00000101262	3.10729128167871	3.20206285776908	2.66271778811647	2.79352284620698
ENSMUSG00000101337	0.454996076424841	0.111064513130444	0.451961248827278	0.353807612606623
ENSMUSG00000025986	4.79323252139874	5.00998327184287	4.14356717240493	4.79111249744662
ENSMUSG00000100213	3.9874443545977	4.7274441405486	3.95841850810881	4.45636941281657
ENSMUSG00000100033	2.98500418513171	3.22211248823643	2.93655220553153	3.02104840534709
ENSMUSG00000026109	1.19370184488735	1.4202038871553	1.14098546889951	1.66344590765942
ENSMUSG00000099625	2.38049559506912	2.65368094119009	3.03687284600407	2.42121833191667
ENSMUSG00000026107	3.63952693844447	4.25741089395756	3.92225564204324	3.81660475909445
ENSMUSG00000103424	2.47665187501946	2.72865055917634	3.29276707554049	2.51737461186702
ENSMUSG00000018417	3.30896255280182	3.74889500590848	3.10755976878641	3.53796362652323
ENSMUSG00000062939	1.96179577919992	2.01741444550755	2.52520217487293	1.80613584281918
ENSMUSG00000101628	2.09438247376359	1.94627445668965	2.29124645087214	1.93872945244531
ENSMUSG00000078291	4.92938884108275	4.97765658217465	5.32262857635714	5.18649773075065
ENSMUSG00000026104	5.07499352031251	3.94794700866296	5.41183972209974	4.19035955407425
ENSMUSG00000099569	4.07136220305153	4.87904868366358	4.24237016955947	4.14842905487163
ENSMUSG00000026103	3.57434385062957	3.49227172545095	3.34016767925802	3.45340249717639
ENSMUSG00000002881	4.50558004216188	3.18933544100517	4.59704331221641	3.43504596729249
ENSMUSG00000097833	4.11648706609989	3.77254215227004	3.85233607240644	3.98138330084604
ENSMUSG00000043015	2.77261820255154	3.00543787836297	2.5856027750169	2.88970484455647
